Smith & Associates Marketing Agency
Statement of Operations
For the Years Ended December 31, 2024 and 2025

Account,FY2024,FY2025
Revenue,,
Service Revenue,"1,850,000.00","2,120,000.00"
Retainer Revenue,"640,000.00","705,000.00"
Total Revenue,"2,490,000.00","2,825,000.00"
Operating Expenses,,
Salaries & Wages,"980,000.00","1,105,000.00"
Officer Compensation,"185,000.00","192,000.00"
Marketing & Advertising,"64,000.00","71,500.00"
Software & Subscriptions,"38,200.00","44,900.00"
Professional Fees,"22,000.00","26,500.00"
Rent Expense,"96,000.00","96,000.00"
Travel & Entertainment,"18,400.00","21,100.00"
Bank & Merchant Fees,"9,600.00","10,800.00"
Miscellaneous,"4,100.00","3,200.00"
Total Operating Expenses,"1,417,300.00","1,571,000.00"
Operating Income,"1,072,700.00","1,254,000.00"
Other Income (Expense),,
Interest Expense,"(12,400.00)","(9,800.00)"
Interest Income,"1,100.00","1,450.00"
Total Other Income (Expense),"(11,300.00)","(8,350.00)"
Net Income,"1,061,400.00","1,245,650.00"
