CloudMetrics SaaS Inc.
Income Statement
Fiscal Years 2022-2025

Account,FY2022,FY2023,FY2024,FY2025
Revenue,,,,
Subscription Revenue,"2,100,000","2,850,000","3,920,000","5,240,000"
Professional Services,"180,000","210,000","245,000","288,000"
Total Revenue,"2,280,000","3,060,000","4,165,000","5,528,000"
Cost of Revenue,,,,
Hosting & Infrastructure,"290,000","365,000","480,000","610,000"
Customer Support,"165,000","198,000","242,000","305,000"
Total Cost of Revenue,"455,000","563,000","722,000","915,000"
Gross Profit,"1,825,000","2,497,000","3,443,000","4,613,000"
Operating Expenses,,,,
Sales & Marketing,"760,000","980,000","1,340,000","1,720,000"
Research & Development,"640,000","845,000","1,120,000","1,480,000"
General & Administrative,"310,000","365,000","420,000","510,000"
Total Operating Expenses,"1,710,000","2,190,000","2,880,000","3,710,000"
Operating Income,"115,000","307,000","563,000","903,000"
Net Income,"98,000","276,000","512,000","845,000"
