Acme HVAC Services, Inc.
Profit and Loss
January - December 2025

,Jan-Dec 2025
Ordinary Income/Expense,
Income,
Service Income,485000.00
Installation Income,312000.00
Total Income,797000.00
Cost of Goods Sold,
Field Labor,210000.00
Subcontract Installers,65000.00
Materials & Supplies,58000.00
Total COGS,333000.00
Gross Profit,464000.00
Expense,
Advertising & Promotion,18000.00
Truck & Auto,22000.00
Insurance,14500.00
Office Supplies,4300.00
Payroll Expenses,90000.00
Rent,36000.00
Total Expense,184800.00
Net Ordinary Income,279200.00
Net Income,279200.00
